image_id,prompt,caption,canonical_objects
227187,<CAPTION>,A group of birds sitting on a tray of bananas.,"bird,banana"
450686,<CAPTION>,A person holding a smart phone in their hand.,"person,cell phone"
121031,<CAPTION>,A group of men riding horses across a river.,"person,horse"
203389,<CAPTION>,A group of men riding motorcycles on a river.,"person,motorcycle"
293625,<CAPTION>,Two women sitting on a couch playing a video game.,"person,couch"
366178,<CAPTION>,A fire hydrant in the snow next to a road.,fire hydrant
9914,<CAPTION>,"A plate with a sandwich, french fries and ketchup.",sandwich
226984,<CAPTION>,A kitchen with a white stove top oven next to a refrigerator.,"oven,refrigerator"
551794,<CAPTION>,A man on a motorcycle on a country road.,"person,motorcycle"
538458,<CAPTION>,A man flying through the air while riding a skateboard.,"person,skateboard"
563653,<CAPTION>,A city street with cars parked on the side of it.,car
270908,<CAPTION>,A man laying on a tennis court holding a tennis racquet.,"person,tennis racket"
286907,<CAPTION>,A blue toilet sitting in a bathroom next to a trash can.,toilet
376900,<CAPTION>,A tennis player is getting ready to serve the ball.,
376284,<CAPTION>,A fire hydrant on the side of the road.,fire hydrant
555705,<CAPTION>,Two cats sitting next to a pair of white tennis shoes.,cat
129054,<CAPTION>,A herd of zebra standing on top of a lush green field.,zebra
259625,<CAPTION>,An elephant in a fenced in area next to a fallen tree.,elephant
382009,<CAPTION>,A man in yellow shirt and shorts playing a game of tennis.,person
478286,<CAPTION>,A train traveling over a bridge under a cloudy sky.,train
89880,<CAPTION>,Two dogs are playing with each other on the grass.,dog
199236,<CAPTION>,A man in armor riding a horse through a fence.,"person,horse"
128598,<CAPTION>,A pile of oranges and apples sitting next to each other.,"orange,apple"
508370,<CAPTION>,Two men standing next to a bicycle on a sidewalk.,"person,bicycle"
396580,<CAPTION>,A boat floating on top of a lake next to a house.,boat
106881,<CAPTION>,A bird perched on a tree branch in a forest.,bird
255965,<CAPTION>,A cat sitting on the ground next to a brick wall.,cat
463802,<CAPTION>,A teddy bear sitting in front of a picture of a tennis player.,teddy bear
442009,<CAPTION>,"A bathroom with a tub, sink, and large windows.",sink
535608,<CAPTION>,A group of people laying on top of a sandy beach.,person
338325,<CAPTION>,A large passenger jet flying through a cloudy sky.,airplane
196843,<CAPTION>,A bus parked on the side of the road with a bicycle next to it.,"bus,bicycle"
434479,<CAPTION>,A couple of small figurines standing next to a slice of pizza.,pizza
551804,<CAPTION>,A woman holding a tennis racquet on a tennis court.,"person,tennis racket"
544519,<CAPTION>,A young girl brushing her teeth with a blue toothbrush.,"person,toothbrush"
185890,<CAPTION>,Two women are playing a video game together.,person
489339,<CAPTION>,A woman carrying a surfboard on a beach.,"person,surfboard"
186632,<CAPTION>,A bathroom with two sinks and a television.,"sink,tv"
161875,<CAPTION>,A woman standing in a field next to a tree.,person
89078,<CAPTION>,A woman in a purple jacket snowboarding down a hill.,person
130465,<CAPTION>,A black and white photo of a clock tower.,clock
262938,<CAPTION>,Two stuffed animals laying on top of an open book.,book
10995,<CAPTION>,A bed sitting in a bedroom next to a window.,bed
466835,<CAPTION>,A large bunch of bananas hanging from a banana tree.,banana
166277,<CAPTION>,A cat drinking water out of a glass on a table.,cat
289393,<CAPTION>,A group of toy animals standing next to each other.,
27768,<CAPTION>,A red and white bus driving down a street.,bus
231527,<CAPTION>,Two small jars of orange juice on a table.,orange
554735,<CAPTION>,A person holding a slice of pizza in a box.,"person,pizza"
356125,<CAPTION>,A man standing next to an elephant in a pen.,"person,elephant"
238866,<CAPTION>,A bunch of glazed donuts are cooling on a rack.,donut
434230,<CAPTION>,A store filled with lots of vases and plates.,vase
45090,<CAPTION>,A couple of people riding surfboards on top of a wave.,"person,surfboard"
205401,<CAPTION>,A small plane sitting on top of a lake next to a boat.,"airplane,boat"
350054,<CAPTION>,A cat sitting on top of a TV stand in a living room.,"cat,tv"
167128,<CAPTION>,Two adult elephants and a baby elephant standing in the grass.,elephant
464358,<CAPTION>,"A bedroom with a bed, chair and television.","bed,chair,tv"
449432,<CAPTION>,A group of men in uniform standing in front of a blue bus.,"person,bus"
102805,<CAPTION>,A man in a hat holding a frisbee in a parking lot.,"person,frisbee"
53994,<CAPTION>,A red and blue parking meter on a sidewalk.,parking meter
107094,<CAPTION>,A man standing on top of a snow covered slope.,person
565962,<CAPTION>,A cat looking out a window at a small statue.,cat
498747,<CAPTION>,A man sitting at a table talking on a cell phone.,"person,cell phone"
175387,<CAPTION>,A white toilet sitting in a bathroom stall.,toilet
97585,<CAPTION>,A wall with a bunch of glass vases hanging on it.,vase
153343,<CAPTION>,Two large teddy bears sitting in front of a building.,teddy bear
553776,<CAPTION>,A man riding a yellow motorcycle down a street.,"person,motorcycle"
298738,<CAPTION>,A panda bear is sitting in the grass.,bear
372349,<CAPTION>,A man and a woman are in the water.,person
147518,<CAPTION>,"A bathroom with a toilet, sink, and bathtub.","toilet,sink"
358525,<CAPTION>,A young boy laying on a bed using a laptop computer.,"person,bed,laptop"
178469,<CAPTION>,A laptop computer sitting on top of a desk.,laptop
476258,<CAPTION>,A man riding a skateboard down a street.,"person,skateboard"
498286,<CAPTION>,A close up of a dog with a car in the background.,"dog,car"
52017,<CAPTION>,A small yellow airplane flying through a gray sky.,airplane
574315,<CAPTION>,A cat sitting on top of a laptop computer.,"cat,laptop"
22935,<CAPTION>,A girl in a blue uniform kicking a soccer ball.,"person,sports ball"
145665,<CAPTION>,A man laying on the ground in a parking lot.,person
463283,<CAPTION>,A glass of orange juice with a slice of orange on the rim.,orange
221291,<CAPTION>,A young boy standing in a field with a kite in the sky.,"person,kite"
394275,<CAPTION>,A green bus driving down a street next to a forest.,bus
455872,<CAPTION>,A black and white photo of a boat dock.,boat
526197,<CAPTION>,A display case filled with donuts and pastries.,donut
52462,<CAPTION>,Two zebras standing in a field of tall grass.,zebra
52413,<CAPTION>,A person holding a pink cell phone in their hand.,"person,cell phone"
393115,<CAPTION>,A person riding a skateboard up the side of a ramp.,"person,skateboard"
130386,<CAPTION>,A large sign on the side of a street.,
263068,<CAPTION>,A man riding a skateboard up the side of a ramp.,"person,skateboard"
99039,<CAPTION>,A table topped with two pizzas and two glasses of wine.,pizza
148662,<CAPTION>,A man holding a hot dog in his hand.,"person,hot dog"
528524,<CAPTION>,Two sheep walking down a path in the woods.,sheep
